,Date,Income,Month,Month_Year
693,2016-10-01,42326.0,10,2016-10
694,2016-11-01,42388.0,11,2016-11
695,2016-12-01,42440.0,12,2016-12
696,2017-01-01,42622.0,1,2017-01
697,2017-02-01,42759.0,2,2017-02
698,2017-03-01,42947.0,3,2017-03
699,2017-04-01,43004.0,4,2017-04
700,2017-05-01,43268.0,5,2017-05
701,2017-06-01,43257.0,6,2017-06
702,2017-07-01,43355.0,7,2017-07
703,2017-08-01,43391.0,8,2017-08
704,2017-09-01,43452.0,9,2017-09
705,2017-10-01,43545.0,10,2017-10
706,2017-11-01,43571.0,11,2017-11
707,2017-12-01,43628.0,12,2017-12
708,2018-01-01,43967.0,1,2018-01
709,2018-02-01,44065.0,2,2018-02
710,2018-03-01,44229.0,3,2018-03
711,2018-04-01,44314.0,4,2018-04
712,2018-05-01,44421.0,5,2018-05
713,2018-06-01,44538.0,6,2018-06
714,2018-07-01,44678.0,7,2018-07
715,2018-08-01,44777.0,8,2018-08
716,2018-09-01,44720.0,9,2018-09
717,2018-10-01,44799.0,10,2018-10
718,2018-11-01,44837.0,11,2018-11
719,2018-12-01,45274.0,12,2018-12
720,2019-01-01,45271.0,1,2019-01
721,2019-02-01,45328.0,2,2019-02
722,2019-03-01,45288.0,3,2019-03
723,2019-04-01,45155.0,4,2019-04
724,2019-05-01,45114.0,5,2019-05
725,2019-06-01,45148.0,6,2019-06
726,2019-07-01,45168.0,7,2019-07
727,2019-08-01,45364.0,8,2019-08
728,2019-09-01,45405.0,9,2019-09
729,2019-10-01,45391.0,10,2019-10
730,2019-11-01,45558.0,11,2019-11
731,2019-12-01,45428.0,12,2019-12
732,2020-01-01,45747.0,1,2020-01
733,2020-02-01,46013.0,2,2020-02
734,2020-03-01,45351.0,3,2020-03
735,2020-04-01,52339.0,4,2020-04
736,2020-05-01,49707.0,5,2020-05
737,2020-06-01,48693.0,6,2020-06
738,2020-07-01,48651.0,7,2020-07
739,2020-08-01,46925.0,8,2020-08
