,Date,Open,High,Low,Close,Volume,Market_Cap,Spread,Month_Year,Unemployment_Percentage,USDI,Y_Average,DOW_Close,NASDAQ_Close,SP500_Close,Average_Close
382,2014-05-15,444.14,449.8,443.63,447.25,7362980.0,5712906334.0,6.17,2014-05,6.3,80.0,446.20500000000004,16446.81055,4069.290039,1870.8499760000002,7462.316855
383,2014-05-16,447.39,450.66,444.96,448.06,6475100.0,5725217915.0,5.7,2014-05,6.3,80.04,447.7675,16491.31055,4090.5900880000004,1877.859985,7486.586874333333
386,2014-05-19,446.08,447.55,443.1,446.18,6242620.0,5706978471.0,4.45,2014-05,6.3,79.99,445.7275,16511.85938,4125.810059,1885.0799559999998,7507.583131666667
387,2014-05-20,446.3,491.44,446.01,485.72,40327500.0,6214911439.0,45.43,2014-05,6.3,80.04,467.3675,16374.30957,4096.890136999999,1872.8299559999998,7448.009887666667
388,2014-05-21,485.8,494.37,483.49,491.77,14626000.0,6294422409.0,10.88,2014-05,6.3,80.09,488.8575,16533.06055,4131.540039,1888.030029,7517.543539333333
389,2014-05-22,492.05,525.36,490.19,524.58,33086500.0,6716604600.0,35.17,2014-05,6.3,80.25,508.0450000000001,16543.08008,4154.339844,1892.4899899999998,7529.969971333333
390,2014-05-23,525.72,541.96,520.08,520.22,34934700.0,6662964359.0,21.88,2014-05,6.3,80.39,526.9950000000001,16606.26953,4185.810059,1900.530029,7564.203206000001
394,2014-05-27,582.59,589.52,554.43,571.24,38032000.0,7325147499.0,35.09,2014-05,6.3,80.35,574.4449999999999,16675.5,4237.069824,1911.910034,7608.159952666666
395,2014-05-28,571.91,578.62,564.09,577.06,19289000.0,7402205099.0,14.53,2014-05,6.3,80.57,572.92,16633.17969,4225.080078,1909.780029,7589.346599
396,2014-05-29,576.33,577.1,561.6,568.18,18707800.0,7290260762.0,15.5,2014-05,6.3,80.49,570.8025,16698.74023,4247.950195,1920.030029,7622.240151333334
397,2014-05-30,568.18,618.46,568.16,615.33,31985400.0,7897757908.0,50.3,2014-05,6.3,80.37,592.5324999999999,16717.16992,4242.620117,1923.569946,7627.786660999999
400,2014-06-02,629.65,665.5,618.74,660.62,45450200.0,8487587033.0,46.76,2014-06,6.1,80.64,643.6275,16743.63086,4237.200195,1924.969971,7635.267008666667
