DATE,A229RX0
1968-03-01,16680.0
1968-04-01,16725.0
1968-05-01,16780.0
1968-06-01,16841.0
1968-07-01,16791.0
1968-08-01,16797.0
1968-09-01,16782.0
1968-10-01,16827.0
1968-11-01,16876.0
1968-12-01,16922.0
1969-01-01,16880.0
1969-02-01,16873.0
1969-03-01,16892.0
1969-04-01,16854.0
1969-05-01,17031.0
1969-06-01,17137.0
1969-07-01,17241.0
1969-08-01,17328.0
1969-09-01,17349.0
1969-10-01,17372.0
1969-11-01,17386.0
1969-12-01,17402.0
1970-01-01,17481.0
1970-02-01,17523.0
1970-03-01,17576.0
1970-04-01,17743.0
1970-05-01,17652.0
1970-06-01,17669.0
1970-07-01,17899.0
1970-08-01,17935.0
1970-09-01,17894.0
1970-10-01,17815.0
1970-11-01,17769.0
1970-12-01,17830.0
1971-01-01,18085.0
1971-02-01,18093.0
1971-03-01,18135.0
1971-04-01,18155.0
1971-05-01,18211.0
1971-06-01,18578.0
1971-07-01,18295.0
1971-08-01,18340.0
1971-09-01,18428.0
1971-10-01,18468.0
1971-11-01,18494.0
1971-12-01,18572.0
1972-01-01,18464.0
1972-02-01,18564.0
1972-03-01,18627.0
1972-04-01,18604.0
1972-05-01,18726.0
1972-06-01,18769.0
1972-07-01,18890.0
1972-08-01,19048.0
1972-09-01,19104.0
1972-10-01,19566.0
1972-11-01,19767.0
1972-12-01,19839.0
1973-01-01,19722.0
1973-02-01,19856.0
1973-03-01,19914.0
1973-04-01,19925.0
1973-05-01,19946.0
1973-06-01,19990.0
1973-07-01,20021.0
1973-08-01,19939.0
1973-09-01,20022.0
1973-10-01,20182.0
1973-11-01,20199.0
1973-12-01,20110.0
1974-01-01,19950.0
1974-02-01,19786.0
1974-03-01,19632.0
1974-04-01,19604.0
1974-05-01,19569.0
1974-06-01,19514.0
1974-07-01,19573.0
1974-08-01,19528.0
1974-09-01,19489.0
1974-10-01,19536.0
1974-11-01,19417.0
1974-12-01,19407.0
1975-01-01,19384.0
1975-02-01,19384.0
1975-03-01,19389.0
1975-04-01,19728.0
1975-05-01,20847.0
1975-06-01,20125.0
1975-07-01,19795.0
1975-08-01,19908.0
1975-09-01,19938.0
1975-10-01,20004.0
1975-11-01,19973.0
1975-12-01,19978.0
1976-01-01,20092.0
1976-02-01,20203.0
1976-03-01,20251.0
1976-04-01,20263.0
1976-05-01,20248.0
1976-06-01,20251.0
1976-07-01,20349.0
1976-08-01,20372.0
1976-09-01,20357.0
1976-10-01,20303.0
1976-11-01,20469.0
1976-12-01,20531.0
1977-01-01,20474.0
1977-02-01,20278.0
1977-03-01,20546.0
1977-04-01,20561.0
1977-05-01,20548.0
1977-06-01,20616.0
1977-07-01,20729.0
1977-08-01,20792.0
1977-09-01,20885.0
1977-10-01,21017.0
1977-11-01,21166.0
1977-12-01,21237.0
1978-01-01,21129.0
1978-02-01,21240.0
1978-03-01,21399.0
1978-04-01,21455.0
1978-05-01,21422.0
1978-06-01,21404.0
1978-07-01,21490.0
1978-08-01,21558.0
1978-09-01,21542.0
1978-10-01,21579.0
1978-11-01,21579.0
1978-12-01,21668.0
1979-01-01,21754.0
1979-02-01,21825.0
1979-03-01,21865.0
1979-04-01,21668.0
1979-05-01,21548.0
1979-06-01,21471.0
1979-07-01,21604.0
1979-08-01,21611.0
1979-09-01,21568.0
1979-10-01,21533.0
1979-11-01,21569.0
1979-12-01,21592.0
1980-01-01,21720.0
1980-02-01,21585.0
1980-03-01,21430.0
1980-04-01,21388.0
1980-05-01,21288.0
1980-06-01,21312.0
1980-07-01,21479.0
1980-08-01,21481.0
1980-09-01,21552.0
1980-10-01,21702.0
1980-11-01,21718.0
1980-12-01,21804.0
1981-01-01,21706.0
1981-02-01,21625.0
1981-03-01,21670.0
1981-04-01,21593.0
1981-05-01,21618.0
1981-06-01,21718.0
1981-07-01,22040.0
1981-08-01,22084.0
1981-09-01,22025.0
1981-10-01,22034.0
1981-11-01,22030.0
1981-12-01,21986.0
1982-01-01,21999.0
1982-02-01,22044.0
1982-03-01,22025.0
1982-04-01,22227.0
1982-05-01,22117.0
1982-06-01,21978.0
1982-07-01,22157.0
1982-08-01,22171.0
1982-09-01,22141.0
1982-10-01,22096.0
1982-11-01,22165.0
1982-12-01,22252.0
1983-01-01,22310.0
1983-02-01,22303.0
1983-03-01,22393.0
1983-04-01,22425.0
1983-05-01,22453.0
1983-06-01,22452.0
1983-07-01,22717.0
1983-08-01,22655.0
1983-09-01,22801.0
1983-10-01,22988.0
1983-11-01,23172.0
1983-12-01,23368.0
1984-01-01,23462.0
1984-02-01,23588.0
1984-03-01,23729.0
1984-04-01,23876.0
1984-05-01,23897.0
1984-06-01,24038.0
1984-07-01,24049.0
1984-08-01,24192.0
1984-09-01,24342.0
1984-10-01,24230.0
1984-11-01,24317.0
1984-12-01,24450.0
1985-01-01,24427.0
1985-02-01,24187.0
1985-03-01,24060.0
1985-04-01,24441.0
1985-05-01,25018.0
1985-06-01,24472.0
1985-07-01,24503.0
1985-08-01,24463.0
1985-09-01,24545.0
1985-10-01,24646.0
1985-11-01,24664.0
1985-12-01,24793.0
1986-01-01,24821.0
1986-02-01,24934.0
1986-03-01,25173.0
1986-04-01,25251.0
1986-05-01,25257.0
1986-06-01,25219.0
1986-07-01,25330.0
1986-08-01,25346.0
1986-09-01,25347.0
1986-10-01,25311.0
1986-11-01,25309.0
1986-12-01,25336.0
1987-01-01,25418.0
1987-02-01,25537.0
1987-03-01,25552.0
1987-04-01,24575.0
1987-05-01,25553.0
1987-06-01,25499.0
1987-07-01,25549.0
1987-08-01,25634.0
1987-09-01,25612.0
1987-10-01,25754.0
1987-11-01,25835.0
1987-12-01,26048.0
1988-01-01,26086.0
1988-02-01,26222.0
1988-03-01,26312.0
1988-04-01,26385.0
1988-05-01,26402.0
1988-06-01,26478.0
1988-07-01,26565.0
1988-08-01,26615.0
1988-09-01,26642.0
1988-10-01,26761.0
1988-11-01,26750.0
1988-12-01,26864.0
1989-01-01,26961.0
1989-02-01,27024.0
1989-03-01,27141.0
1989-04-01,26981.0
1989-05-01,26836.0
1989-06-01,26889.0
1989-07-01,26958.0
1989-08-01,27003.0
1989-09-01,27057.0
1989-10-01,27165.0
1989-11-01,27169.0
1989-12-01,27148.0
1990-01-01,27288.0
1990-02-01,27326.0
1990-03-01,27308.0
1990-04-01,27451.0
1990-05-01,27389.0
1990-06-01,27397.0
1990-07-01,27459.0
1990-08-01,27253.0
1990-09-01,27206.0
1990-10-01,26951.0
1990-11-01,26927.0
1990-12-01,27053.0
1991-01-01,26949.0
1991-02-01,26960.0
1991-03-01,26976.0
1991-04-01,27053.0
1991-05-01,27028.0
1991-06-01,27137.0
1991-07-01,27052.0
1991-08-01,27082.0
1991-09-01,27124.0
1991-10-01,27134.0
1991-11-01,27149.0
1991-12-01,27371.0
1992-01-01,27617.0
1992-02-01,27718.0
1992-03-01,27718.0
1992-04-01,27770.0
1992-05-01,27871.0
1992-06-01,27957.0
1992-07-01,27904.0
1992-08-01,27968.0
1992-09-01,27805.0
1992-10-01,27595.0
1992-11-01,27608.0
1992-12-01,28562.0
1993-01-01,27912.0
1993-02-01,28018.0
1993-03-01,27904.0
1993-04-01,28021.0
1993-05-01,27951.0
1993-06-01,27868.0
1993-07-01,27906.0
1993-08-01,27914.0
1993-09-01,27806.0
1993-10-01,27641.0
1993-11-01,27690.0
1993-12-01,28607.0
1994-01-01,28047.0
1994-02-01,28077.0
1994-03-01,28143.0
1994-04-01,28116.0
1994-05-01,28412.0
1994-06-01,28337.0
1994-07-01,28330.0
1994-08-01,28332.0
1994-09-01,28424.0
1994-10-01,28665.0
1994-11-01,28637.0
1994-12-01,28741.0
1995-01-01,28809.0
1995-02-01,28842.0
1995-03-01,28896.0
1995-04-01,28655.0
1995-05-01,28917.0
1995-06-01,28974.0
1995-07-01,29008.0
1995-08-01,28995.0
1995-09-01,29056.0
1995-10-01,29059.0
1995-11-01,29112.0
1995-12-01,29128.0
1996-01-01,29145.0
1996-02-01,29347.0
1996-03-01,29415.0
1996-04-01,29210.0
1996-05-01,29551.0
1996-06-01,29699.0
1996-07-01,29589.0
1996-08-01,29631.0
1996-09-01,29668.0
1996-10-01,29633.0
1996-11-01,29684.0
1996-12-01,29759.0
1997-01-01,29819.0
1997-02-01,29877.0
1997-03-01,29991.0
1997-04-01,29985.0
1997-05-01,30087.0
1997-06-01,30152.0
1997-07-01,30232.0
1997-08-01,30353.0
1997-09-01,30399.0
1997-10-01,30517.0
1997-11-01,30685.0
1997-12-01,30834.0
1998-01-01,31078.0
1998-02-01,31251.0
1998-03-01,31404.0
1998-04-01,31473.0
1998-05-01,31571.0
1998-06-01,31718.0
1998-07-01,31741.0
1998-08-01,31809.0
1998-09-01,31869.0
1998-10-01,31883.0
1998-11-01,31985.0
1998-12-01,32017.0
1999-01-01,32111.0
1999-02-01,32195.0
1999-03-01,32201.0
1999-04-01,32109.0
1999-05-01,32138.0
1999-06-01,32214.0
1999-07-01,32216.0
1999-08-01,32325.0
1999-09-01,32270.0
1999-10-01,32442.0
1999-11-01,32646.0
1999-12-01,32882.0
2000-01-01,33112.0
2000-02-01,33212.0
2000-03-01,33270.0
2000-04-01,33396.0
2000-05-01,33498.0
2000-06-01,33551.0
2000-07-01,33687.0
2000-08-01,33839.0
2000-09-01,33811.0
2000-10-01,33828.0
2000-11-01,33786.0
2000-12-01,33816.0
2001-01-01,33990.0
2001-02-01,34024.0
2001-03-01,34100.0
2001-04-01,33980.0
2001-05-01,33873.0
2001-06-01,33845.0
2001-07-01,34314.0
2001-08-01,34872.0
2001-09-01,34586.0
2001-10-01,34019.0
2001-11-01,34068.0
2001-12-01,34113.0
2002-01-01,34764.0
2002-02-01,34769.0
2002-03-01,34743.0
2002-04-01,34841.0
2002-05-01,34930.0
2002-06-01,34978.0
2002-07-01,34837.0
2002-08-01,34786.0
2002-09-01,34770.0
2002-10-01,34837.0
2002-11-01,34914.0
2002-12-01,35006.0
2003-01-01,34983.0
2003-02-01,34869.0
2003-03-01,34933.0
2003-04-01,35090.0
2003-05-01,35331.0
2003-06-01,35406.0
2003-07-01,35802.0
2003-08-01,36006.0
2003-09-01,35542.0
2003-10-01,35650.0
2003-11-01,35849.0
2003-12-01,35875.0
2004-01-01,35819.0
2004-02-01,35859.0
2004-03-01,35981.0
2004-04-01,36105.0
2004-05-01,36274.0
2004-06-01,36276.0
2004-07-01,36320.0
2004-08-01,36394.0
2004-09-01,36381.0
2004-10-01,36374.0
2004-11-01,36252.0
2004-12-01,37570.0
2005-01-01,36196.0
2005-02-01,36188.0
2005-03-01,36293.0
2005-04-01,36382.0
2005-05-01,36521.0
2005-06-01,36571.0
2005-07-01,36549.0
2005-08-01,36563.0
2005-09-01,36406.0
2005-10-01,36642.0
2005-11-01,36918.0
2005-12-01,37084.0
2006-01-01,37432.0
2006-02-01,37537.0
2006-03-01,37579.0
2006-04-01,37533.0
2006-05-01,37488.0
2006-06-01,37548.0
2006-07-01,37485.0
2006-08-01,37440.0
2006-09-01,37644.0
2006-10-01,37804.0
2006-11-01,37921.0
2006-12-01,38038.0
2007-01-01,38046.0
2007-02-01,38164.0
2007-03-01,38268.0
2007-04-01,38237.0
2007-05-01,38184.0
2007-06-01,38093.0
2007-07-01,38093.0
2007-08-01,38086.0
2007-09-01,38143.0
2007-10-01,38050.0
2007-11-01,37975.0
2007-12-01,38084.0
2008-01-01,38095.0
2008-02-01,38061.0
2008-03-01,38019.0
2008-04-01,37839.0
2008-05-01,39623.0
2008-06-01,38544.0
2008-07-01,37906.0
2008-08-01,37658.0
2008-09-01,37731.0
2008-10-01,37906.0
2008-11-01,38165.0
2008-12-01,37948.0
2009-01-01,38056.0
2009-02-01,37639.0
2009-03-01,37603.0
2009-04-01,37915.0
2009-05-01,38515.0
2009-06-01,37851.0
2009-07-01,37647.0
2009-08-01,37521.0
2009-09-01,37560.0
2009-10-01,37369.0
2009-11-01,37445.0
2009-12-01,37625.0
2010-01-01,37603.0
2010-02-01,37572.0
2010-03-01,37671.0
2010-04-01,37962.0
2010-05-01,38246.0
2010-06-01,38290.0
2010-07-01,38328.0
2010-08-01,38413.0
2010-09-01,38348.0
2010-10-01,38378.0
2010-11-01,38439.0
2010-12-01,38688.0
2011-01-01,38827.0
2011-02-01,38903.0
2011-03-01,38765.0
2011-04-01,38672.0
2011-05-01,38611.0
2011-06-01,38768.0
2011-07-01,38855.0
2011-08-01,38786.0
2011-09-01,38689.0
2011-10-01,38734.0
2011-11-01,38704.0
2011-12-01,39032.0
2012-01-01,39302.0
2012-02-01,39520.0
2012-03-01,39639.0
2012-04-01,39771.0
2012-05-01,39782.0
2012-06-01,39794.0
2012-07-01,39487.0
2012-08-01,39309.0
2012-09-01,39472.0
2012-10-01,39745.0
2012-11-01,40282.0
2012-12-01,41286.0
2013-01-01,38891.0
2013-02-01,38679.0
2013-03-01,38720.0
2013-04-01,38853.0
2013-05-01,39054.0
2013-06-01,39071.0
2013-07-01,39004.0
2013-08-01,39063.0
2013-09-01,39194.0
2013-10-01,39064.0
2013-11-01,39165.0
2013-12-01,39265.0
2014-01-01,39432.0
2014-02-01,39655.0
2014-03-01,39851.0
2014-04-01,39979.0
2014-05-01,40108.0
2014-06-01,40269.0
2014-07-01,40367.0
2014-08-01,40528.0
2014-09-01,40624.0
2014-10-01,40769.0
2014-11-01,40941.0
2014-12-01,41171.0
2015-01-01,41456.0
2015-02-01,41596.0
2015-03-01,41457.0
2015-04-01,41517.0
2015-05-01,41565.0
2015-06-01,41581.0
2015-07-01,41678.0
2015-08-01,41759.0
2015-09-01,41845.0
2015-10-01,41889.0
2015-11-01,41847.0
2015-12-01,42018.0
2016-01-01,42149.0
2016-02-01,42177.0
2016-03-01,42189.0
2016-04-01,42107.0
2016-05-01,42064.0
2016-06-01,42058.0
2016-07-01,42163.0
2016-08-01,42166.0
2016-09-01,42263.0
2016-10-01,42326.0
2016-11-01,42388.0
2016-12-01,42440.0
2017-01-01,42622.0
2017-02-01,42759.0
2017-03-01,42947.0
2017-04-01,43004.0
2017-05-01,43268.0
2017-06-01,43257.0
2017-07-01,43355.0
2017-08-01,43391.0
2017-09-01,43452.0
2017-10-01,43545.0
2017-11-01,43571.0
2017-12-01,43628.0
2018-01-01,43967.0
2018-02-01,44065.0
2018-03-01,44229.0
2018-04-01,44314.0
2018-05-01,44421.0
2018-06-01,44538.0
2018-07-01,44678.0
2018-08-01,44777.0
2018-09-01,44720.0
2018-10-01,44799.0
2018-11-01,44837.0
2018-12-01,45274.0
2019-01-01,45271.0
2019-02-01,45328.0
2019-03-01,45288.0
2019-04-01,45155.0
2019-05-01,45114.0
2019-06-01,45148.0
2019-07-01,45168.0
2019-08-01,45364.0
2019-09-01,45405.0
2019-10-01,45391.0
2019-11-01,45558.0
2019-12-01,45428.0
2020-01-01,45747.0
2020-02-01,46013.0
2020-03-01,45351.0
2020-04-01,52339.0
2020-05-01,49707.0
2020-06-01,48693.0
2020-07-01,48651.0
2020-08-01,46925.0
